ID,Kürzel,Jahr,Titel,Band,Autor - Nachname,Vorname,Ort,Verlag,Kommentar,Zotero,Anmerkung,Zitat,Periode,Quelle_Typ,Quelle_Subtyp,Quelle_Spezifikation
Schadek1893,Schadek 1893,1893,In der Muatersprach'. Gedichte in niederösterreichischer Mundart,,Schadek,Moriz,Wien,Konegen,,1,,,,Literatur,Literar.Text,Gedichte
Schadek1899,Schadek 1899,1899,"Hausmannskost. Gedicht in niederösterreichischer Mundart. 2., verm. Aufl.",,Schadek,Moriz,Wien,,,,,,,Literatur,Literar.Text,Gedichte
Schatzdorfer1933,Schatzdorfer 1933,1933,Hoböschoat'n. Ernste und heitere Reime im Innviertler Dialekt.,,Schatzdorfer,Hans,Ried im Innkreis,Preßvereinsdruckerei,,,,,,Literatur,,
Schatzdorfer1949,Schatzdorfer 1949,1949,Spatzngsang und Spinnáwittn. Neue Mundartgedichte,,Schatzdorfer,Hans,Groß-Piesenham,Selbstverlag,,1,,,,Literatur,Literar.Text,Gedichte
Schatzdorfer1969,Schatzdorfer 1969,1969,Zeidige Zwötschkn,,Schatzdorfer,Hans,,,,,,,,Literatur,,
Schiferl1947,Schiferl 1947,1947,Warn dös Kampln? Weinland in Gestalten.,,Schiferl,Lois,Wien,,,,,,,Literatur,,
Schmeller1855,Schmeller 1855,1855,Cimbrisches Wörterbuch,,Schmeller,Johann Andreas,Wien,K.k. Hof- und Staatsdruckerei,,,,,,Literatur,Fachliteratur,Wörterbuch
Schmeller1872I,Schmeller 1872 I,1872,"Bayerisches Wörterbuch. 2., mit des Verfassers Nachträgen vermehrte Ausgabe",Band 1: A–Q,Schmeller/(Frommann Hrsg.)/(Historische Commission bei der Königl. Academie der Wissenschaften Hrsg.),Johann Andreas/(Georg Karl),München,Oldenbourg,,1,,,,Literatur,Fachliteratur,Wörterbuch
Schmeller1877II,Schmeller 1877 II,1877,"Bayerisches Wörterbuch. 2., mit des Verfassers Nachträgen vermehrte Ausgabe",Band 2: R–Z,Schmeller/(Frommann Hrsg.)/(Historische Commission bei der Königl. Academie der Wissenschaften Hrsg.),Johann Andreas/(Georg Karl),München,Oldenbourg,,1,,,,Literatur,Fachliteratur,Wörterbuch
Schmutzer1980,Schmutzer 1980,1980,Die Wiener Schülersprache der Gegenwart,,Schmutzer,Wolf-Dieter,Wien,,,,,,,Literatur,,
